srcStateName,srcYear,Crime head IPC ( Indian Penal Code ) Category,Crime head IPC ( Indian Penal Code ) Sub-category,Incidence of IPC ( Indian Penal Code ) crimes,Victims of IPC ( Indian Penal Code ) crimes,IPC ( Indian Penal Code ) Crime Rate per lakh person,YearCode,Year
A&N Islands,2018,Offences affecting the Human Body,Abetment of Suicide (Sec.305/306 IPC),3,4,0.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women (Sec.354 IPC),20,20,10.5263157894737,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC) (Total),35,36,18.4210526315789,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Offences affecting the Human Body,Offences Affecting the Human Body (Total),41543,46286,79.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),1,1,0.526315789473684,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |Sexual Harassment (Sec.354A IPC) (Total),12,13,6.31578947368421,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |a) at Work or Office Premises,3,4,1.57894736842105,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |b) In Public Transport System,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Offences against Property,Theft (Section 379 IPC) |Theft (Total),15800,16445,46.4,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |c) In Shelter Homes for women and Children,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |d) Other Places,9,9,4.73684210526316,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Stalking (Sec.354D IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Voyeurism (Sec.354C IPC),2,2,1.05263157894737,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Attempt to Commit Murder (Sec.307 IPC),8,8,2,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Attempt to Commit Rape (Sec.376/511 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Attempt to Commit Suicide (Sec.309 IPC),2,0,0.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Attempt to commit Culpable Homicide (Sec.308 IPC),4,6,1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Buying of Minors for Prostitution (Sec.373 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Causing Death by Negligence (Sec.304-A IPC) (Total),30,37,7.6,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Medical Negligence,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence of Civic Bodies,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Rail Accidents,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |A) Hit and Run,4,4,1,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2020,Other IPC Crimes,,2102,1544,4.6,2020,"Calendar Year (Jan - Dec), 2020"
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |B) Other Accidents (other than Hit and Run),14,20,3.5,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2019,Total Cognizable IPC crimes,,2379,2486,199.1,2019,"Calendar Year (Jan - Dec), 2019"
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |Deaths due to Negligence relating to Road Accidents (Total),18,24,4.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to other Negligence,12,13,3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Culpable Homicide not amounting to Murder (Sec.304 IPC),3,41,0.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Dowry Deaths (Sec.304-B IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Exploitation of Trafficked Person 370A IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Human Trafficking (U/S 370),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |A) Voluntarily causing grievous hurt (Sec.325 IPC),23,25,5.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |B) Voluntarily causing grievous hurt by dangerous weapons or means (Sec.326 IPC),5,5,1.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |C) Acid Attack (Sec.326A IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |D) Attempt to Acid Attack (Sec.326B IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |E) Voluntarily Causing Grievous hurt/Force to deter public servant from his duty (Sec.333/353 IPC),1,1,0.3,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2020,Offences affecting the Human Body,Murder (Sec.302 IPC,853,888,1.6,2020,"Calendar Year (Jan - Dec), 2020"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |F) Causing Grievous Hurt by act endangering life/safety of others (Sec.338 IPC),5,5,1.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,"Hurt |Grievous Hurt |G) Other Grievous Hurt (Sec.329, 331 & 335)",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |Grievous Hurt (Total),34,36,8.6,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Hurt (Simple +Grievous),83,88,21,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |A) Voluntarily Causing Simple Hurt (Sec.323 r/w 341/342),13,15,3.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |B) Voluntarily causing hurt by Dangerous weapons or means (Sec.324 IPC),13,14,3.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |C) Voluntarily Causing hurt/Force to deter public servant from his duty (Sec.332/353 IPC),14,14,3.5,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Offences affecting the Human Body,Rape (Sec.376 IPC),971,973,3.73461538461538,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |D) Causing Hurt by act endangering life/safety of others (Sec.336/337),9,9,2.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,"Hurt |Simple Hurt |E) Other Simple Hurt (Sec.327, 328, 330 & 334)",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |Simple Hurt (Total),49,52,12.4,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction of Women to compel her for marriage (Sec.366 IPC),2,2,1.05263157894737,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Importation of Girls from Foreign Country (Sec.366-B IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2020,Total Cognizable IPC crimes,,65216,72547,223.1,2020,"Calendar Year (Jan - Dec), 2020"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) | Kidnapping and Abduction (Sec.363 IPC),33,34,8.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |A) Missing Children Deemed as Kidnapped,14,14,10,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |B) Other Kidnapping & Abduction,19,20,4.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Total),37,38,9.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction for the Purpose of Begging (Sec.363 A),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction in order to Murder (Sec.364 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping for Ransom (Sec.364A IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018,Offences affecting the Human Body,Rape (Sec.376 IPC),2091,2101,14.7357293868922,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,"Kidnapping and Abduction |Other Kidnapping & Abduction (Sec.365, 367, 368, 369)",2,2,0.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Procuration of Minor Girls (Sec.366A),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,"Miscarriage, Infanticide, Foeticide and Abandonment (Sec.313 to 318 IPC)",1,1,0.526315789473684,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Murder (Sec.302 IPC),11,12,2.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Offences Affecting the Human Body (Total),254,308,64.1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Rape (Sec.376 IPC),30,30,15.7894736842105,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Selling of Minors for Prostitution (Sec.372 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Unnatural Offences (Sec.377 IPC),1,1,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences affecting the Human Body,Wrongful Restraint/Confinement (Sec.341 to 348 IPC),6,6,1.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Attempt to Commit Dacoity/Robbery (Sec.393 & 398 IPC),1,1,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |A) Day Time,31,31,7.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |B) Night,31,31,7.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |Burglary (Total),62,62,15.7,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Criminal Breach of Trust (Sec.406 to 409 IPC),5,5,1.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Criminal Misappropriation (Sec.403/404 r/w Other IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Dacoity |A) Dacoity (Sec.395/397 IPC),4,6,1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Dacoity |B) Dacoity with Murder (Sec.396 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Dacoity |Dacoity (Total),4,6,1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Dishonestly Receiving/Dealing-in Stolen Property (Sec.411 to 414 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Extortion & Blackmailing (Sec.384 to 389 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Making Preparation and Assembly for committing Dacoity (Sec.399 & 402 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Offences against Property (Total),143,145,36.1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Robbery (Sec.392/394/397 IPC),2,2,0.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Theft (Section 379 IPC) |A) Auto/Motor Vehicle Theft,16,16,4,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Theft (Section 379 IPC) |B) Other Thefts,53,53,13.25,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Property,Theft (Section 379 IPC) |Theft (Total),69,69,17.4,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Affray (Sec.159 & 160 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Offences against Public Tranquillity (Total),8,14,2,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Offences promoting enmity between different groups |A) Promoting enmity between groups (Sec.153A & 153B IPC),1,1,0.3,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018,Offences against Property,Robbery (Sec.392/394/397 IPC),63,63,4.2,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,"Offences promoting enmity between different groups |B) Imputation, assertions prejudicial to national integration (Sec.153 B IPC)",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Offences promoting enmity between different groups |Offences promoting enmity between different groups (Total),1,1,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |A) Communal/Religious,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |B) Sectarian,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |C) Industrial,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |D) Political,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Offences against Public Tranquillity,Affray (Sec.159 & 160 IPC),50,50,0.1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |E) Caste Conflict,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |F) Agrarian,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |G) Students,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |H) Vigilants,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |I) Money Dispute,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |J) Water Dispute,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |K) Land/Property Dispute,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
