ROWID,Country,State lgd code,State,Yearcode,Year,Crime head ipc ( indian penal code ) category,Crime head ipc ( indian penal code ) sub-category,Incidence of ipc ( indian penal code ) crimes,Victims of ipc ( indian penal code ) crimes,Ipc ( indian penal code ) crime rate per lakh person
11,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Obscene Acts and Songs at Public Places (Sec.294),60.64400697790388908594,64.55652355712349483342,0.5
12,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Obstruction on Public way (Sec.283 IPC),0.97812914480490143687,0.97812914480490143687,0
13,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Offences related to Mischief (Sec.428 to 433),5.86877486882940862122,5.86877486882940862122,0
14,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),0.00000000000000000000,0.00000000000000000000,0
15,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),0.00000000000000000000,0.00000000000000000000,0
16,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Offences relating to Religion (Sec.295 to 297),5.86877486882940862122,5.86877486882940862122,0
17,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Rash Driving on Public way |C) Causing Grievous Hurt by Rash/Negligent Driving on Public way(Sec.279 r/w 338 IPC),217.14467014668811898514,430.37682371415663222280,1.7
18,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |A) Rash Driving on Public Way (Sec.279 or Sec.279 r/w 336/Other IPC),577.09619543489184775330,663.17156017772317419786,4.4
19,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |B) Causing Hurt by Rash/Negligent Driving on Public Way (Sec.279 r/w 337 IPC),4391.79986017400745154630,5772.91821263852828040674,33.4
20,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |Rash Driving on Public way (Total),5186.04072575558741828474,6866.46659653040808682740,39.5
21,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Sale of obscene Books/Objects (Sec.292 & 293),0.00000000000000000000,0.00000000000000000000,0
22,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Abetment of Suicide (Sec.305/306 IPC),35.21264921297645172732,38.14703664739115603793,0.3
23,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women (Sec.354 IPC),1466.21558806254725386813,1478.93126694501097254744,23.5691823899371
24,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC) (Total),1562.07224425342759468139,1575.76605228069621479757,25.1100628930818
25,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),39.12516579219605747480,39.12516579219605747480,0.628930817610063
26,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |a) at Work or Office Premises,0.97812914480490143687,0.97812914480490143687,0.0157232704402516
27,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |b) In Public Transport System,0.00000000000000000000,0.00000000000000000000,0
28,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |c) In Shelter Homes for women and Children,0.00000000000000000000,0.00000000000000000000,0
29,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |d) Other Places ,31.30013263375684597984,32.27826177856174741671,0.50314465408805
30,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |Sexual Harassment (Sec.354A IPC) (Total),32.27826177856174741671,33.25639092336664885358,0.518867924528302
31,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Stalking (Sec.354D IPC),23.47509947531763448488,23.47509947531763448488,0.377358490566038
32,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Voyeurism (Sec.354C IPC),0.97812914480490143687,0.97812914480490143687,0.0157232704402516
33,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Attempt to commit Culpable Homicide (Sec.308 IPC),0.00000000000000000000,0.00000000000000000000,0
34,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Attempt to Commit Murder (Sec.307 IPC),428.42056542454682934906,475.37076437518209831882,3.3
35,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Attempt to Commit Rape (Sec.376/511 IPC),22.49697033051273304801,22.49697033051273304801,0.361635220125786
36,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Attempt to Commit Suicide (Sec.309 IPC),357.01713785378902445755,0.00000000000000000000,2.7
37,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Buying of Minors for Prostitution (Sec.373 IPC),0.00000000000000000000,0.00000000000000000000,0
38,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Causing Death by Negligence |Causing Death by Negligence (Sec.304-A IPC) (Total),730.66247116926137334189,968.34785335685242250130,5.6
39,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Medical Negligence,1.95625828960980287374,1.95625828960980287374,0
40,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence of Civic Bodies,5.86877486882940862122,5.86877486882940862122,0
41,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Rail Accidents,0.00000000000000000000,0.00000000000000000000,0
42,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |A) Hit and Run,140.85059685190580690928,155.52253402397932846233,1.1
43,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |B) Other Accidents (other than Hit and Run),545.79606280113500177346,768.80950781665252937982,4.2
44,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |Deaths due to Negligence relating to Road Accidents (Total),686.64665965304080868274,924.33204184063185784215,5.2
45,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Causing Death by Negligence |Deaths due to other Negligence,36.19077835778135316419,36.19077835778135316419,0.3
46,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Culpable Homicide not amounting to Murder (Sec.304 IPC),23.47509947531763448488,26.40948690973233879549,0.2
47,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Dowry Deaths (Sec.304-B IPC),7.82503315843921149496,7.82503315843921149496,0.125786163522013
48,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Exploitation of Trafficked Person 370A IPC),0.00000000000000000000,0.00000000000000000000,0
49,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Human Trafficking (U/S 370),0.00000000000000000000,0.00000000000000000000,0
50,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Grievous Hurt |A) Voluntarily causing grievous hurt (Sec.325 IPC),43.03768237141566322228,44.01581151622056465915,0.3
51,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Grievous Hurt |B) Voluntarily causing grievous hurt by dangerous weapons or means (Sec.326 IPC),0.00000000000000000000,0.00000000000000000000,0
52,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Grievous Hurt |C) Acid Attack (Sec.326A IPC),0.00000000000000000000,0.00000000000000000000,0
53,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Grievous Hurt |D) Attempt to Acid Attack (Sec.326B IPC),0.00000000000000000000,0.00000000000000000000,0
54,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Grievous Hurt |E) Voluntarily Causing Grievous hurt/Force to deter public servant from his duty (Sec.333/353 IPC),35.21264921297645172732,36.19077835778135316419,0.3
55,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Grievous Hurt |F) Causing Grievous Hurt by act endangering life/safety of others (Sec.338 IPC),30.32200348895194454297,51.84084467465977615411,0.2
56,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,"Hurt |Grievous Hurt |G) Other Grievous Hurt (Sec.329, 331 & 335)",0.00000000000000000000,0.00000000000000000000,0
57,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Grievous Hurt |Grievous Hurt (Total),108.57233507334405949257,132.04743454866169397745,0.8
58,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Hurt (Simple +Grievous),2976.44698764131507239541,3137.83829653412380947896,22.7
59,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Simple Hurt |A) Voluntarily Causing Simple Hurt (Sec.323 r/w 341/342),2186.11863863895471140445,2296.64723200190857377076,16.6
60,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Simple Hurt |B) Voluntarily causing hurt by Dangerous weapons or means (Sec.324 IPC),46.95019895063526896976,46.95019895063526896976,0.4
61,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Simple Hurt |C) Voluntarily Causing hurt/Force to deter public servant from his duty (Sec.332/353 IPC),428.42056542454682934906,440.15811516220564659150,3.3
62,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Simple Hurt |D) Causing Hurt by act endangering life/safety of others (Sec.336/337),205.40712040902930174270,221.05718672590772473262,1.6
63,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,"Hurt |Simple Hurt |E) Other Simple Hurt (Sec.327, 328, 330 & 334)",0.97812914480490143687,0.97812914480490143687,0
64,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Hurt |Simple Hurt |Simple Hurt (Total),2867.87465256797101290284,3005.79086198546211550151,21.8
65,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Importation of Girls from Foreign Country (Sec.366-B IPC),0.00000000000000000000,0.00000000000000000000,0
66,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction for the Purpose of Begging (Sec.363 A),0.00000000000000000000,0.00000000000000000000,0
67,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction in order to Murder (Sec.364 IPC),15.65006631687842298992,15.65006631687842298992,0.1
68,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction of Women to compel her for marriage (Sec.366 IPC),496.88960556088992992996,497.86773470569483136683,7.9874213836478
69,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |A) Missing Children Deemed as Kidnapped,70.42529842595290345464,71.40342757075780489151,1.6
70,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |B) Other Kidnapping & Abduction ,376.57972074988705319495,394.18604535637527905861,2.9
71,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) | Kidnapping and Abduction (Sec.363 IPC) ,447.00501917583995664959,465.58947292713308395012,3.4
72,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Total),1112.13283764317293372119,1131.69542053927096245859,8.5
73,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping for Ransom (Sec.364A IPC),0.97812914480490143687,0.97812914480490143687,0
74,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,"Kidnapping and Abduction |Other Kidnapping & Abduction (Sec.365, 367, 368, 369)",151.61001744475972271485,151.61001744475972271485,1.2
75,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Kidnapping and Abduction |Procuration of Minor Girls (Sec.366A),0.00000000000000000000,0.00000000000000000000,0
76,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,"Miscarriage, Infanticide, Foeticide and Abandonment (Sec.313 to 318 IPC)",21.51884118570783161114,23.47509947531763448488,0.345911949685535
77,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Murder (Sec.302 IPC),177.04137520968716007347,207.36337869863910461644,1.3
78,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Offences Affecting the Human Body (Total),8919.55967147589620281753,9106.38233813363237725970,67.9
79,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Rape (Sec.376 IPC),313.00132633756845979840,320.82635949600767129336,5.0314465408805
80,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Selling of Minors for Prostitution (Sec.372 IPC),0.00000000000000000000,0.00000000000000000000,0
81,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Unnatural Offences (Sec.377 IPC),22.49697033051273304801,22.49697033051273304801,0.2
82,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences affecting the Human Body,Wrongful Restraint/Confinement (Sec.341 to 348 IPC),1129.73916224966115958485,1148.32361600095428688538,8.6
83,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Attempt to Commit Dacoity/Robbery (Sec.393 & 398 IPC),0.00000000000000000000,0.00000000000000000000,0
84,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |A) Day Time,296.37313087588513537161,297.35126002069003680848,2.3
85,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |B) Night,1005.51676085943867710236,1011.38553572826808572358,7.7
86,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |Burglary (Total),1301.88989173532381247397,1308.73679574895812253206,9.9
87,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Criminal Breach of Trust (Sec.406 to 409 IPC),63.57839441231859339655,66.51278184673329770716,0.5
88,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Criminal Misappropriation (Sec.403/404 r/w Other IPC),0.00000000000000000000,0.00000000000000000000,0
89,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Dacoity |A) Dacoity (Sec.395/397 IPC),8.80316230324411293183,8.80316230324411293183,0.1
90,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Dacoity |B) Dacoity with Murder (Sec.396 IPC),0.00000000000000000000,0.00000000000000000000,0
91,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Dacoity |Dacoity  (Total),8.80316230324411293183,8.80316230324411293183,0.1
92,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Dishonestly Receiving/Dealing-in Stolen Property (Sec.411 to 414 IPC),0.00000000000000000000,0.00000000000000000000,0
93,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Extortion & Blackmailing (Sec.384 to 389 IPC),0.97812914480490143687,0.97812914480490143687,0
94,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Making Preparation and Assembly for committing Dacoity (Sec.399 & 402 IPC),0.00000000000000000000,0.00000000000000000000,0
95,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Offences against Property (Total),3272.82011851720020776702,3292.38270141329823650442,24.9
96,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Robbery  (Sec.392/394/397 IPC),81.18471901880681926021,87.05349388763622788143,0.6
97,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Theft (Section 379 IPC) |A) Auto/Motor Vehicle Theft,936.06959157829067508459,937.04772072309557652146,7.1
98,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Theft (Section 379 IPC) |B) Other Thefts,880.31623032441129318300,883.25061775882599749361,6.70141474311243
99,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Property,Theft (Section 379 IPC) |Theft (Total),1816.38582190270196826759,1820.29833848192157401507,13.8
100,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Affray (Sec.159 & 160 IPC),0.00000000000000000000,0.00000000000000000000,0
101,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Offences against Public Tranquillity (Total),1429.04668055996099926707,1993.42719711238912834106,10.9
102,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Offences promoting enmity between different groups |A) Promoting enmity between groups (Sec.153A & 153B IPC),27.38761605453724023236,27.38761605453724023236,0.2
103,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,"Offences promoting enmity between different groups |B) Imputation, assertions prejudicial to national integration (Sec.153 B IPC)",2.93438743441470431061,2.93438743441470431061,0
104,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Offences promoting enmity between different groups |Offences promoting enmity between different groups (Total),30.32200348895194454297,30.32200348895194454297,0.2
105,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |A) Communal/Religious,0.00000000000000000000,0.00000000000000000000,0
106,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |B) Sectarian,0.00000000000000000000,0.00000000000000000000,0
107,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |C) Industrial,0.00000000000000000000,0.00000000000000000000,0
108,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |D) Political,2.93438743441470431061,30.32200348895194454297,0
109,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |E) Caste Conflict,0.00000000000000000000,0.00000000000000000000,0
110,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |F) Agrarian ,0.00000000000000000000,0.00000000000000000000,0
111,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |G) Students,0.00000000000000000000,0.00000000000000000000,0
112,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |H) Vigilants,0.00000000000000000000,0.00000000000000000000,0
113,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |I) Money Dispute,0.00000000000000000000,0.00000000000000000000,0
114,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |J) Water Dispute,0.00000000000000000000,0.00000000000000000000,0
115,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |K) Land/Property Dispute,218.12279929149302042201,325.71700522003217847771,1.7
116,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |L) Family Disputes,146.71937172073521553050,160.41317974800383564668,1.1
117,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |M) Enmity/Rivalry,22.49697033051273304801,22.49697033051273304801,0.2
118,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |N) Electricity/Power Supply Disputes,10.75942059285391580557,10.75942059285391580557,0.1
119,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |O) Rioting while in Aandolan/Morcha,0.00000000000000000000,0.00000000000000000000,0
120,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |P) Rioting/Attacks on Police Personnel or Govt Servants,786.41583242314075524348,1178.64561948990623142835,6
121,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |Q) Other Rioting,211.27589527785871036392,234.75099475317634484880,1.6
122,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |Rioting (Total),1398.72467707100905472410,1963.10519362343718379809,10.7
123,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against Public Tranquillity,"Unlawful Assembly (Sec.143, 144 & 145)",0.00000000000000000000,,0
124,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against State,Offences against State |Offences against the State (Total),21.51884118570783161114,25.43135776492743735862,0.2
125,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against State,"Offences against State |Others (Sec.121, 121A, 122 & 123 IPC)",9.78129144804901436870,13.69380802726862011618,0.1
126,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against State,Offences against State |Sedition (Sec.124A IPC),11.73754973765881724244,11.73754973765881724244,0.1
