srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,YearCode,Year,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Chandigarh,2017,India,4,CHANDIGARH,1055450,1026459,28991,580663,563513,17150,474787,462946,11841,241173,234033,7140,10953,2017,"Calendar Year (Jan - Dec), 2017",447,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chandigarh,2018,India,4,CHANDIGARH,1055450,1026459,28991,580663,563513,17150,474787,462946,11841,241173,234033,7140,10953,2018,"Calendar Year (Jan - Dec), 2018",447,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttarakhand,2016,India,5,UTTARAKHAND,10086292,3049338,7036954,5137773,1618731,3519042,4948519,1430607,3517912,2056975,631889,1425086,90193,2016,"Calendar Year (Jan - Dec), 2016",3.36367e+06,3453862.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttarakhand,2017,India,5,UTTARAKHAND,10086292,3049338,7036954,5137773,1618731,3519042,4948519,1430607,3517912,2056975,631889,1425086,90193,2017,"Calendar Year (Jan - Dec), 2017",3.36367e+06,3453862.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttarakhand,2018,India,5,UTTARAKHAND,10086292,3049338,7036954,5137773,1618731,3519042,4948519,1430607,3517912,2056975,631889,1425086,90193,2018,"Calendar Year (Jan - Dec), 2018",3.36367e+06,3453862.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haryana,2016,India,6,HARYANA,25351462,8842103,16509359,13494734,4720728,8774006,11856728,4121375,7735353,4857524,1813768,3043756,197608,2016,"Calendar Year (Jan - Dec), 2016",4.19564e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haryana,2017,India,6,HARYANA,25351462,8842103,16509359,13494734,4720728,8774006,11856728,4121375,7735353,4857524,1813768,3043756,197608,2017,"Calendar Year (Jan - Dec), 2017",4.19564e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haryana,2018,India,6,HARYANA,25351462,8842103,16509359,13494734,4720728,8774006,11856728,4121375,7735353,4857524,1813768,3043756,197608,2018,"Calendar Year (Jan - Dec), 2018",4.19564e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delhi,2016,India,7,DELHI,16787941,16368899,419042,8987326,8761005,226321,7800615,7607894,192721,3435999,3356425,79574,115407,2016,"Calendar Year (Jan - Dec), 2016",35620.1,151027.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delhi,2017,India,7,DELHI,16787941,16368899,419042,8987326,8761005,226321,7800615,7607894,192721,3435999,3356425,79574,115407,2017,"Calendar Year (Jan - Dec), 2017",35620.1,151027.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delhi,2018,India,7,DELHI,16787941,16368899,419042,8987326,8761005,226321,7800615,7607894,192721,3435999,3356425,79574,115407,2018,"Calendar Year (Jan - Dec), 2018",35620.1,151027.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,2016,India,8,RAJASTHAN,68548437,17048085,51500352,35550997,8909250,26641747,32997440,8138835,24858605,12711146,3216243,9494903,665817,2016,"Calendar Year (Jan - Dec), 2016",3.31262e+07,33792067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,2017,India,8,RAJASTHAN,68548437,17048085,51500352,35550997,8909250,26641747,32997440,8138835,24858605,12711146,3216243,9494903,665817,2017,"Calendar Year (Jan - Dec), 2017",3.31262e+07,33792067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,2018,India,8,RAJASTHAN,68548437,17048085,51500352,35550997,8909250,26641747,32997440,8138835,24858605,12711146,3216243,9494903,665817,2018,"Calendar Year (Jan - Dec), 2018",3.31262e+07,33792067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2016,India,9,UTTAR PRADESH,199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2016,"Calendar Year (Jan - Dec), 2016",2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2017,India,9,UTTAR PRADESH,199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2017,"Calendar Year (Jan - Dec), 2017",2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2018,India,9,UTTAR PRADESH,199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2018,"Calendar Year (Jan - Dec), 2018",2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bihar,2016,India,10,BIHAR,104099452,11758016,92341436,54278157,6204307,48073850,49821295,5553709,44267586,18913565,2050625,16862940,232472,2016,"Calendar Year (Jan - Dec), 2016",9.06661e+06,9299085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bihar,2017,India,10,BIHAR,104099452,11758016,92341436,54278157,6204307,48073850,49821295,5553709,44267586,18913565,2050625,16862940,232472,2017,"Calendar Year (Jan - Dec), 2017",9.06661e+06,9299085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bihar,2018,India,10,BIHAR,104099452,11758016,92341436,54278157,6204307,48073850,49821295,5553709,44267586,18913565,2050625,16862940,232472,2018,"Calendar Year (Jan - Dec), 2018",9.06661e+06,9299085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sikkim,2016,India,11,SIKKIM,610577,153578,456999,323070,80273,242797,287507,73305,214202,129006,35718,93288,3824.1,2016,"Calendar Year (Jan - Dec), 2016",649873,653697.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sikkim,2017,India,11,SIKKIM,610577,153578,456999,323070,80273,242797,287507,73305,214202,129006,35718,93288,3824.1,2017,"Calendar Year (Jan - Dec), 2017",649873,653697.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sikkim,2018,India,11,SIKKIM,610577,153578,456999,323070,80273,242797,287507,73305,214202,129006,35718,93288,3824.1,2018,"Calendar Year (Jan - Dec), 2018",649873,653697.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2016,India,12,ARUNACHAL PRADESH,1383727,317369,1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,2016,"Calendar Year (Jan - Dec), 2016",1.33104e+06,1331039.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2017,India,12,ARUNACHAL PRADESH,1383727,317369,1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,2017,"Calendar Year (Jan - Dec), 2017",1.33104e+06,1331039.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2018,India,12,ARUNACHAL PRADESH,1383727,317369,1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,2018,"Calendar Year (Jan - Dec), 2018",1.33104e+06,1331039.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2016,India,13,NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,271789,682064,396002,118511,277491,,2016,"Calendar Year (Jan - Dec), 2016",101253,101253.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2017,India,13,NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,271789,682064,396002,118511,277491,,2017,"Calendar Year (Jan - Dec), 2017",101253,101253.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2018,India,13,NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,271789,682064,396002,118511,277491,,2018,"Calendar Year (Jan - Dec), 2018",101253,101253.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manipur,2016,India,14,MANIPUR,2855794,834154,2021640,1438586,411702,1026884,1417208,422452,994756,557859,172339,385520,18024,2016,"Calendar Year (Jan - Dec), 2016",175742,193766.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manipur,2017,India,14,MANIPUR,2855794,834154,2021640,1438586,411702,1026884,1417208,422452,994756,557859,172339,385520,18024,2017,"Calendar Year (Jan - Dec), 2017",175742,193766.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manipur,2018,India,14,MANIPUR,2855794,834154,2021640,1438586,411702,1026884,1417208,422452,994756,557859,172339,385520,18024,2018,"Calendar Year (Jan - Dec), 2018",175742,193766.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mizoram,2016,India,15,MIZORAM,1097206,571771,525435,555339,286204,269135,541867,285567,256300,222853,117041,105812,86600,2016,"Calendar Year (Jan - Dec), 2016",,86600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mizoram,2017,India,15,MIZORAM,1097206,571771,525435,555339,286204,269135,541867,285567,256300,222853,117041,105812,86600,2017,"Calendar Year (Jan - Dec), 2017",,86600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mizoram,2018,India,15,MIZORAM,1097206,571771,525435,555339,286204,269135,541867,285567,256300,222853,117041,105812,86600,2018,"Calendar Year (Jan - Dec), 2018",,86600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tripura,2016,India,16,TRIPURA,3673917,961453,2712464,1874376,487203,1387173,1799541,474250,1325291,855556,238974,616582,39184,2016,"Calendar Year (Jan - Dec), 2016",1.00031e+06,1039494.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tripura,2017,India,16,TRIPURA,3673917,961453,2712464,1874376,487203,1387173,1799541,474250,1325291,855556,238974,616582,39184,2017,"Calendar Year (Jan - Dec), 2017",1.00031e+06,1039494.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tripura,2018,India,16,TRIPURA,3673917,961453,2712464,1874376,487203,1387173,1799541,474250,1325291,855556,238974,616582,39184,2018,"Calendar Year (Jan - Dec), 2018",1.00031e+06,1039494.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2016,India,17,MEGHALAYA,2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,2016,"Calendar Year (Jan - Dec), 2016",,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2017,India,17,MEGHALAYA,2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,2017,"Calendar Year (Jan - Dec), 2017",,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2018,India,17,MEGHALAYA,2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,2018,"Calendar Year (Jan - Dec), 2018",,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2016,India,18,ASSAM,31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,2016,"Calendar Year (Jan - Dec), 2016",5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2017,India,18,ASSAM,31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,2017,"Calendar Year (Jan - Dec), 2017",5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2018,India,18,ASSAM,31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,2018,"Calendar Year (Jan - Dec), 2018",5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2016,India,19,WEST BENGAL,91276115,29093002,62183113,46809027,14964082,31844945,44467088,14128920,30338168,20380315,6567150,13813165,511322.9535491,2016,"Calendar Year (Jan - Dec), 2016",7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2017,India,19,WEST BENGAL,91276115,29093002,62183113,46809027,14964082,31844945,44467088,14128920,30338168,20380315,6567150,13813165,511322.9535491,2017,"Calendar Year (Jan - Dec), 2017",7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
