srcStateName,srcYear,Crime head Special & Local Laws (SLL) Category,Crime head Special & Local Laws (SLL) Sub-category,Incidence of Special & Local Laws (SLL) crimes,Victims of Special & Local Laws (SLL) crimes,Special & Local Laws (SLL) Crime Rate,YearCode,Year
A&N Islands,2018,Foreigner & Passport - Related Acts,"The Emigration Act, 1983",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Foreigner & Passport - Related Acts,"The Passport Act, 1967",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Foreigner & Passport - Related Acts,"The Registration of Foreigners Act,1939 & The Foreigners Act, 1946",9,,2.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Information Technology/Intellectual Property - Related Acts,Information Technology/ Intellectual Property – Related Acts (Total),4,4,1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Information Technology/Intellectual Property - Related Acts,"The Copy Right Act, 1957",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Information Technology/Intellectual Property - Related Acts,"The Information Technology Act, 2000",4,4,1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Information Technology/Intellectual Property - Related Acts,"The Trade Marks Act, 1999",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Liquor & Narcotic Drugs - Related Acts,Liquor & Narcotic Drugs – Related Acts (Total),2900,,732.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Liquor & Narcotic Drugs - Related Acts,Prohibition Act (State),28,,7.1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Liquor & Narcotic Drugs - Related Acts,"The Excise Act, 1944",2823,,712.9,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|The NDPS Act, 1985 (Total)",49,,12.4,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|a) Possession of drugs for Personal use/Consumption",49,,12.4,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|b) Possession of drugs for Trafficking",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against State - Related Acts,Offences against State - Related Acts (Total),3,,0.75,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against State - Related Acts,"The Official Secrets Act, 1923",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against State - Related Acts,"The Prevention of Damage to Public Property Act, 1984",3,0,0.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences against State - Related Acts,"The Unlawful Activities P Act, 1967",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,City/Town Police Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,Defacement of Public Property Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,MACOCA/ Control of Organised Crimes,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,Motor Vehicle Act,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,Other Regulatory & Enforcement – Acts (Total),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,Other State Local Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,"The Antiques and Art Treasures Act, 1972",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,"The Bonded Labour System Abolition Act|The Bonded Labour System Abolition Act, 1976 (Total)",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|a) Against SC,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|b) Against ST,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|c) Against others,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,"The Electricity Act, 2003",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,The Gambling Act,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,"The Mental Health Act, 1987",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,"The Prevention of Insults to National Honour Act, 1971",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,"The Representation of the People Act, 1951",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other Regulatory & Enforcement - Acts,"The Transplantation of Human Organs Act, 1994",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Other SLL Crimes,Other SLL Crimes,2,0,0.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Railways - Related Acts,Railways – Related Acts (Total),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Railways - Related Acts,"The Indian Railways Act, 1989",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Railways - Related Acts,"The Railway Property Unlawful Possession Act, 1966",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Schedule Castes and Scheduled Tribes - Related Acts,Scheduled Castes and Scheduled Tribes – Related Acts (Total),1,1,3.33333333333333,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989/2015 against STs",1,1,3.33333333333333,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Telegraph / Cinematograph Acts,Telegraph/ Cinematograph Acts (Total),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Telegraph / Cinematograph Acts,"The Cable Television Networks Regulation Act, 1955",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Telegraph / Cinematograph Acts,"The Cinematograph Act, 1952",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Telegraph / Cinematograph Acts,"The Indian Telegraph Act, 1988",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Telegraph / Cinematograph Acts,"The Telegraph Wire Unlawful Possession Act, 1950",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,2993,82,755.8,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Arms/Explosive - Related Acts,Arms/Explosive - Related Acts (Total),160,,0.3,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 | a) Legal/ Licensed Arms",1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |Fire Arms",24,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |The Arms Act, 1959 (Total)",54,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |b) Illegal/ Unlicensed Arms",23,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959|Other Arms",30,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Arms/Explosive - Related Acts,"The Explosive Substances Act, 1884 & 1908",42,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Arms/Explosive - Related Acts,"The Explosives Act, 1984",64,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Children Related - Acts,Children Related – Acts (Total),428,439,2.73133375877473,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Children Related - Acts,"The Child Labour Prohibition & Regulation Act, 1986",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Children Related - Acts,"The Juvenile Justice Care and Protection of Children Act, 2000 & 2015",49,50,0.312699425654116,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Children Related - Acts,"The Medical Termination of Pregnancy Act, 1971",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Children Related - Acts,"The Pre-Natal Diagnostic Techniques Reg and Prev of Misuse Act, 1994",4,4,0.0255264837268666,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Children Related - Acts,"The Prohibition of Child Marriage Act, 2006",14,19,0.0893426930440332,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Children Related - Acts,"The Protection of Children from Sexual Offences Act, 2012",361,366,2.30376515634971,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Crime Against Women - Related Acts,Crime Against Women – Related Acts (Total),492,577,1.89230769230769,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Crime Against Women - Related Acts,"The Dowry Prohibition Act, 1961",320,321,1.23076923076923,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Crime Against Women - Related Acts,"The Immoral Traffic Prevention Act, 1956",172,256,0.661538461538462,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Crime Against Women - Related Acts,"The Indecent Representation of Women Prohibition Act, 2012",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Crime Against Women - Related Acts,"The Protection of Women from Domestic Violence Act, 2005",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Environment & Pollution - Related Acts,Environment & Pollution– Related Acts (Total),91,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Environment & Pollution - Related Acts,Noise Pollution Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Environment & Pollution - Related Acts,The Air & The Water Prevention & Control of Pollution Act,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Environment & Pollution - Related Acts,"The Cigarette and Other Tobacco Products Act, 2003",31,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Environment & Pollution - Related Acts,"The Environmental Protection Act, 1986",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Environment & Pollution - Related Acts,"The Forest Act, 1927 & The Forest Conservation Act, 1980",57,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Environment & Pollution - Related Acts,"The National Green Tribunal Act, 2010",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Environment & Pollution - Related Acts,"The Wildlife Protection Act, 1972",3,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Finance & Economic Acts,Finance & Economic Acts (Total),213,,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Finance & Economic Acts,"Prevention of Corruption Act, 1988",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Finance & Economic Acts,"The Benami Transaction Prohibition Act, 1988 & 2016",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Finance & Economic Acts,"The Chit Funds Acts, 1982",1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Finance & Economic Acts,"The Lotteries Regulation Act, 1998",45,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Finance & Economic Acts,"The Mines and Minerals Development and Regulation Act, 1957",167,,0.3,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Finance & Economic Acts,"The Negotiable Instruments Act, 1881",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,"Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts (Total)",208,,0.4,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,"Food, Drugs and Essential Commodities Acts","The Essential Commodities Act, 1955",78,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,"Food, Drugs and Essential Commodities Acts","The Food Safety & Standards Act, 2006",130,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,"Food, Drugs and Essential Commodities Acts","The Prevention of Food Adulteration Act, 1954",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Foreigner & Passport - Related Acts,Foreigner & Passport – Related Acts (Total),8,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Foreigner & Passport - Related Acts,"The Citizenship Act, 1955",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Foreigner & Passport - Related Acts,"The Emigration Act, 1983",1,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Foreigner & Passport - Related Acts,"The Passport Act, 1967",4,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Foreigner & Passport - Related Acts,"The Registration of Foreigners Act,1939 & The Foreigners Act, 1946",3,,0,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,Information Technology/Intellectual Property - Related Acts,Information Technology/ Intellectual Property – Related Acts (Total),496,526,1,2018,"Calendar Year (Jan - Dec), 2018"
