ROWID,Country,State lgd code,State,Yearcode,Year,Crime head special & local laws (sll) category,Crime head special & local laws (sll) sub-category,Incidence of special & local laws (sll) crimes,Victims of special & local laws (sll) crimes,Special & local laws (sll) crime rate
14,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Children Related - Acts,"The Prohibition of Child Marriage Act, 2006",0.00000000000000000000,0.00000000000000000000,0
15,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Children Related - Acts,"The Protection of Children from Sexual Offences Act, 2012",31.30013263375684597984,48.90645724024507184350,0.711111111111111
16,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Crime Against Women - Related Acts,Crime Against Women – Related Acts (Total),1.95625828960980287374,1.95625828960980287374,0.0314465408805031
17,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Crime Against Women - Related Acts,"The Dowry Prohibition Act, 1961",0.97812914480490143687,0.97812914480490143687,0.0157232704402516
18,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Crime Against Women - Related Acts,"The Immoral Traffic Prevention Act, 1956",0.97812914480490143687,0.97812914480490143687,0.0157232704402516
19,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Crime Against Women - Related Acts,"The Indecent Representation of Women Prohibition Act, 2012",0.00000000000000000000,0.00000000000000000000,0
20,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Crime Against Women - Related Acts,"The Protection of Women from Domestic Violence Act, 2005",0.00000000000000000000,0.00000000000000000000,0
21,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Environment & Pollution - Related Acts,Environment & Pollution– Related Acts (Total),7.82503315843921149496,,0.1
22,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Environment & Pollution - Related Acts,Noise Pollution Acts,0.00000000000000000000,,0
23,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Environment & Pollution - Related Acts,The Air & The Water Prevention & Control of Pollution Act,0.00000000000000000000,,0
24,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Environment & Pollution - Related Acts,"The Cigarette and Other Tobacco Products Act, 2003",0.00000000000000000000,,0
25,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Environment & Pollution - Related Acts,"The Environmental Protection Act, 1986",0.00000000000000000000,,0
26,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Environment & Pollution - Related Acts,"The Forest Act, 1927 & The Forest Conservation Act, 1980",2.93438743441470431061,,0
27,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Environment & Pollution - Related Acts,"The National Green Tribunal Act, 2010",0.00000000000000000000,,0
28,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Environment & Pollution - Related Acts,"The Wildlife Protection Act, 1972",4.89064572402450718435,,0
29,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Finance & Economic Acts,Finance & Economic Acts (Total),19.56258289609802873740,,0.1
30,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Finance & Economic Acts,"Prevention of Corruption Act, 1988",19.56258289609802873740,,0.1
31,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Finance & Economic Acts,"The Benami Transaction Prohibition Act, 1988 & 2016",0.00000000000000000000,,0
32,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Finance & Economic Acts,"The Chit Funds Acts, 1982",0.00000000000000000000,,0
33,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Finance & Economic Acts,"The Lotteries Regulation Act, 1998",0.00000000000000000000,,0
34,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Finance & Economic Acts,"The Mines and Minerals Development and Regulation Act, 1957",0.00000000000000000000,,0
35,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Finance & Economic Acts,"The Negotiable Instruments Act, 1881",0.00000000000000000000,,0
36,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018","Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts (Total)",38.14703664739115603793,,0.3
271,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Total Cognizable SLL Crimes,,3678,362,27.6
37,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018","Food, Drugs and Essential Commodities Acts","The Essential Commodities Act, 1955",38.14703664739115603793,,0.3
38,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018","Food, Drugs and Essential Commodities Acts","The Food Safety & Standards Act, 2006",0.00000000000000000000,,0
39,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018","Food, Drugs and Essential Commodities Acts","The Prevention of Food Adulteration Act, 1954",0.00000000000000000000,,0
40,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Foreigner & Passport - Related Acts,Foreigner & Passport – Related Acts (Total),8.80316230324411293183,,0.1
41,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Foreigner & Passport - Related Acts,"The Citizenship Act, 1955",0.00000000000000000000,,0
42,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Foreigner & Passport - Related Acts,"The Emigration Act, 1983",0.00000000000000000000,,0
43,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Foreigner & Passport - Related Acts,"The Passport Act, 1967",0.00000000000000000000,,0
44,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Foreigner & Passport - Related Acts,"The Registration of Foreigners Act,1939 & The Foreigners Act, 1946",8.80316230324411293183,,0.1
45,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Information Technology/Intellectual Property - Related Acts,Information Technology/ Intellectual Property – Related Acts (Total),60.64400697790388908594,61.62213612270879052281,0.5
46,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Information Technology/Intellectual Property - Related Acts,"The Copy Right Act, 1957",15.65006631687842298992,15.65006631687842298992,0.1
47,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Information Technology/Intellectual Property - Related Acts,"The Information Technology Act, 2000",44.99394066102546609602,45.97206980583036753289,0.3
48,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Information Technology/Intellectual Property - Related Acts,"The Trade Marks Act, 1999",0.00000000000000000000,0.00000000000000000000,0
49,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Liquor & Narcotic Drugs - Related Acts,Liquor & Narcotic Drugs – Related Acts (Total),1456.43429661449823949943,,11.1
50,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Liquor & Narcotic Drugs - Related Acts,Prohibition Act (State),0.00000000000000000000,,0
51,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Liquor & Narcotic Drugs - Related Acts,"The Excise Act, 1944",538.94915878750069171537,,4.1
52,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|a) Possession of drugs for Personal use/Consumption",252.35731935966457071246,,1.9
53,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|b) Possession of drugs for Trafficking",665.12781846733297707160,,5.1
54,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985|The NDPS Act, 1985 (Total)",917.48513782699754778406,,7
55,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against State - Related Acts,Offences against State - Related Acts (Total),250.40106107005476783872,,1.90618019359643
56,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against State - Related Acts,"The Official Secrets Act, 1923",0.00000000000000000000,,0
57,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against State - Related Acts,"The Prevention of Damage to Public Property Act, 1984",10.75942059285391580557,0.00000000000000000000,0.1
58,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Offences against State - Related Acts,"The Unlawful Activities P Act, 1967",239.64164047720085203315,,1.8
59,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,City/Town Police Acts,0.00000000000000000000,,0
60,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,Defacement of Public Property Acts,0.00000000000000000000,,0
61,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,MACOCA/ Control of Organised Crimes,0.00000000000000000000,,0
62,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,Motor Vehicle Act,0.00000000000000000000,,0
63,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,Other Regulatory & Enforcement – Acts (Total),108.57233507334405949257,0.00000000000000000000,0.8
64,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,Other State Local Acts,0.00000000000000000000,,0
65,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,"The Antiques and Art Treasures Act, 1972",0.00000000000000000000,,0
66,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|a) Against SC,0.00000000000000000000,0.00000000000000000000,0
67,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|b) Against ST,0.00000000000000000000,0.00000000000000000000,0
68,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,The Bonded Labour System Abolition Act|c) Against others,0.00000000000000000000,0.00000000000000000000,0
69,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,"The Bonded Labour System Abolition Act|The Bonded Labour System Abolition Act, 1976 (Total)",0.00000000000000000000,0.00000000000000000000,0
70,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,"The Electricity Act, 2003",0.97812914480490143687,,0
71,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,The Gambling Act,104.65981849412445374509,,0.8
72,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,"The Mental Health Act, 1987",0.00000000000000000000,,0
185,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Arms/Explosive ‐ Related Acts,"The Arms Act, 1959_Other Arms",149,,1.1
73,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,"The Prevention of Insults to National Honour Act, 1971",2.93438743441470431061,,0
74,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,"The Representation of the People Act, 1951",0.00000000000000000000,,0
75,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other Regulatory & Enforcement - Acts,"The Transplantation of Human Organs Act, 1994",0.00000000000000000000,0.00000000000000000000,0
76,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Other SLL Crimes,Other SLL Crimes,605.46194063423398942253,0.00000000000000000000,4.60908413998511
77,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Railways - Related Acts,Railways – Related Acts (Total),5.86877486882940862122,,0
78,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Railways - Related Acts,"The Indian Railways Act, 1989",5.86877486882940862122,,0
79,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Railways - Related Acts,"The Railway Property Unlawful Possession Act, 1966",0.00000000000000000000,,0
80,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Schedule Castes and Scheduled Tribes - Related Acts,Scheduled Castes and Scheduled Tribes – Related Acts (Total),0.97812914480490143687,0.97812914480490143687,0.04149377593361
81,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against SCs",0.97812914480490143687,0.97812914480490143687,0.108695652173913
82,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0.00000000000000000000,0.00000000000000000000,0
83,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989/2015 against STs",0.00000000000000000000,0.00000000000000000000,0
84,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989 against SCs",0.00000000000000000000,0.00000000000000000000,0
85,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Telegraph / Cinematograph Acts,Telegraph/ Cinematograph Acts (Total),0.00000000000000000000,,0
86,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Telegraph / Cinematograph Acts,"The Cable Television Networks Regulation Act, 1955",0.00000000000000000000,,0
87,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Telegraph / Cinematograph Acts,"The Cinematograph Act, 1952",0.00000000000000000000,,0
88,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Telegraph / Cinematograph Acts,"The Indian Telegraph Act, 1988",0.00000000000000000000,,0
89,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Telegraph / Cinematograph Acts,"The Telegraph Wire Unlawful Possession Act, 1950",0.00000000000000000000,,0
90,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,2993.07518310299839682220,114.44110994217346811379,22.8
91,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Arms/Explosive - Related Acts,Arms/Explosive - Related Acts (Total)_,308.11068061354395261405,,2.3
92,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Arms/Explosive - Related Acts,"The Arms Act, 1959_a) Legal/ Licensed Arms",2.93438743441470431061,,0
93,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Arms/Explosive - Related Acts,"The Arms Act, 1959_b) Illegal/ Unlicensed Arms",110.52859336295386236631,,0.8
94,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Arms/Explosive - Related Acts,"The Arms Act, 1959_Fire Arms",113.46298079736856667692,,0.9
95,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Arms/Explosive - Related Acts,"The Arms Act, 1959_Other Arms",134.98182198307639828806,,1
96,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Arms/Explosive - Related Acts,"The Arms Act, 1959_The Arms Act, 1959 (Total)",248.44480278044496496498,,1.9
97,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Arms/Explosive - Related Acts,"The Explosives Act, 1984_",12.71567888246371867931,,0.1
98,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Arms/Explosive - Related Acts,"The Explosive Substances Act, 1884 & 1908_",46.95019895063526896976,,0.4
99,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Children Related - Acts,Children Related – Acts (Total),110.52859336295386236631,110.52859336295386236631,2.5
100,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Children Related - Acts,"The Child Labour Prohibition & Regulation Act, 1986",0.00000000000000000000,0.00000000000000000000,0
101,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Children Related - Acts,"The Juvenile Justice Care and Protection of Children Act, 2000 & 2015",1.95625828960980287374,1.95625828960980287374,0
102,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Children Related - Acts,"The Medical Termination of Pregnancy Act, 1971",0.00000000000000000000,0.00000000000000000000,0
103,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Children Related - Acts,"The Pre-Natal Diagnostic Techniques Reg and Prev of Misuse Act, 1994",0.97812914480490143687,0.97812914480490143687,0
104,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Children Related - Acts,"The Prohibition of Child Marriage Act, 2006",0.97812914480490143687,0.97812914480490143687,0
105,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Children Related - Acts,"The Protection of Children from Sexual Offences Act, 2012",106.61607678373425661883,106.61607678373425661883,2.4
106,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Crime Against Women - Related Acts,Crime Against Women – Related Acts (Total),0.00000000000000000000,0.00000000000000000000,0
107,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Crime Against Women - Related Acts,"The Dowry Prohibition Act, 1961",0.00000000000000000000,0.00000000000000000000,0
108,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Crime Against Women - Related Acts,"The Immoral Traffic Prevention Act, 1956",0.00000000000000000000,0.00000000000000000000,0
109,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Crime Against Women - Related Acts,"The Indecent Representation of Women Prohibition Act, 2012",0.00000000000000000000,0.00000000000000000000,0
110,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Crime Against Women - Related Acts,"The Protection of Women from Domestic Violence Act, 2005",0.00000000000000000000,0.00000000000000000000,0
111,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Environment & Pollution - Related Acts,Environment & Pollution– Related Acts (Total),19.56258289609802873740,,0.1
112,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Environment & Pollution - Related Acts,Noise Pollution Acts,0.00000000000000000000,,0
113,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Environment & Pollution - Related Acts,The Air & The Water Prevention & Control of Pollution Act,0.00000000000000000000,,0
114,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Environment & Pollution - Related Acts,"The Cigarette and Other Tobacco Products Act, 2003",0.00000000000000000000,,0
115,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Environment & Pollution - Related Acts,"The Environmental Protection Act, 1986",0.00000000000000000000,,0
116,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Environment & Pollution - Related Acts,"The Forest Act, 1927 & The Forest Conservation Act, 1980",14.67193717207352155305,,0.1
117,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Environment & Pollution - Related Acts,"The National Green Tribunal Act, 2010",0.00000000000000000000,,0
118,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Environment & Pollution - Related Acts,"The Wildlife Protection Act, 1972",4.89064572402450718435,,0
119,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Finance & Economic Acts,Finance & Economic Acts (Total),9.78129144804901436870,,0.1
120,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Finance & Economic Acts,"Prevention of Corruption Act, 1988",9.78129144804901436870,,0.1
121,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Finance & Economic Acts,"The Benami Transaction Prohibition Act, 1988 & 2016",0.00000000000000000000,,0
122,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Finance & Economic Acts,"The Chit Funds Acts, 1982",0.00000000000000000000,,0
123,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Finance & Economic Acts,"The Lotteries Regulation Act, 1998",0.00000000000000000000,,0
124,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Finance & Economic Acts,"The Mines and Minerals Development and Regulation Act, 1957",0.00000000000000000000,,0
125,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Finance & Economic Acts,"The Negotiable Instruments Act, 1881",0.00000000000000000000,,0
126,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019","Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts (Total)",97.81291448049014368700,,0.7
127,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019","Food, Drugs and Essential Commodities Acts","The Essential Commodities Act, 1955",97.81291448049014368700,,0.7
128,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019","Food, Drugs and Essential Commodities Acts","The Food Safety & Standards Act, 2006",0.00000000000000000000,,0
129,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019","Food, Drugs and Essential Commodities Acts","The Prevention of Food Adulteration Act, 1954",0.00000000000000000000,,0
130,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Foreigner & Passport - Related Acts,Foreigner & Passport – Related Acts (Total),7.82503315843921149496,,0.1
131,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Foreigner & Passport - Related Acts,"The Citizenship Act, 1955",0.00000000000000000000,,0
132,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Foreigner & Passport - Related Acts,"The Emigration Act, 1983",0.00000000000000000000,,0
133,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Foreigner & Passport - Related Acts,"The Passport Act, 1967",0.00000000000000000000,,0
134,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Foreigner & Passport - Related Acts,"The Registration of Foreigners Act,1939 & The Foreigners Act, 1946",7.82503315843921149496,,0.1
135,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Information Technology/Intellectual Property - Related Acts,Information Technology/ Intellectual Property – Related Acts (Total),57.70961954348918477533,62.60026526751369195968,0.4
136,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Information Technology/Intellectual Property - Related Acts,"The Copy Right Act, 1957",23.47509947531763448488,23.47509947531763448488,0.2
137,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Information Technology/Intellectual Property - Related Acts,"The Information Technology Act, 2000",34.23452006817155029045,39.12516579219605747480,0.3
138,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Information Technology/Intellectual Property - Related Acts,"The Trade Marks Act, 1999",0.00000000000000000000,0.00000000000000000000,0
139,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Liquor & Narcotic Drugs - Related Acts,Liquor & Narcotic Drugs – Related Acts (Total)_,1697.05406623650399296945,,12.8
140,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Liquor & Narcotic Drugs - Related Acts,Prohibition Act (State),0.00000000000000000000,,0
141,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Liquor & Narcotic Drugs - Related Acts,"The Excise Act, 1944",549.70857938035460752094,,4.2
142,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985_a) Possession of drugs for Personal use/Consumption",249.42293192524986640185,,1.9
143,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985_b) Possession of drugs for Trafficking",897.92255493089951904666,,6.8
144,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Liquor & Narcotic Drugs - Related Acts,"The Narcotic Drugs & Psychotropic Substances Act, 1985_The NDPS Act, 1985 (Total)",1147.34548685614938544851,,8.7
145,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Offences against State - Related Acts,Offences against State - Related Acts (Total),262.13861080771358508116,,2
146,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Offences against State - Related Acts,"The Official Secrets Act, 1923",0.00000000000000000000,,0
